0xC8, 0xD1, 0xC8, 0xD1, 0x00, 0x00,
0xC8, 0xD1, 0xC8, 0xD1, 0x00, 0x00,
0x90, 0xD1, 0x90, 0xD1, 0x00, 0x00,
0x50, 0xD1, 0x50, 0xD1, 0x00, 0x00,
0x90, 0xD1, 0x90, 0xD1, 0x00, 0x00,
0xC8, 0xD1, 0xC8, 0xD1, 0x00, 0x00,
0xC8, 0xD1, 0xC8, 0xD1, 0x00, 0x00,
0x98, 0xD1, 0x98, 0xD1, 0x00, 0x00,
0x98, 0xD1, 0x98, 0xD1, 0x00, 0x00,
0x98, 0xD1, 0x98, 0xD1, 0x00, 0x00,
0xC8, 0xD1, 0xC8, 0xD1, 0x00, 0x00,
0x48, 0x1B, 0x48, 0x1F, 0x00, 0x00,
0x48, 0x1E, 0x48, 0x11, 0x00, 0x00,
0x48, 0x1D, 0x48, 0x19, 0x00, 0x00,
0xC8, 0xD1, 0xC8, 0xD1, 0x00, 0x00,
0x98, 0xD1, 0x98, 0xD1, 0x00, 0x00,
0x98, 0xD1, 0x98, 0xD1, 0x00, 0x00,
0x98, 0xD1, 0x98, 0xD1, 0x00, 0x00,
0xC8, 0xD1, 0xC8, 0xD1, 0x00, 0x00,
0xC8, 0xD1, 0xC8, 0xD1, 0x00, 0x00,
0xC8, 0xD1, 0xC8, 0xD1, 0x00, 0x08,
0xC8, 0xD1, 0xC8, 0xD1, 0x00, 0x00,
0xC8, 0xD1, 0xC8, 0xD1, 0x00, 0x00,
0xC8, 0xD1, 0xC8, 0xD1, 0x00, 0x00,
0x70, 0xD1, 0x70, 0xD1, 0x00, 0x00,
0x70, 0xD1, 0x70, 0xD1, 0x00, 0x00,
0xC8, 0xD1, 0xC8, 0xD1, 0x00, 0x00,
0xC8, 0xD1, 0xC8, 0xD1, 0x00, 0x00,
0xFF
